2025-07-15 23:26:30.060 | ERROR    | core.logger:log_api_request:128 | API POST /document/upload-file - 422 | {'extra': {'api_request': True, 'endpoint': '/document/upload-file', 'method': 'POST', 'status_code': 422, 'duration': 11.37, 'user_id': 'anonymous', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0'}}
2025-07-15 23:30:13.095 | ERROR    | core.logger:log_error_with_context:181 | Error occurred: name 'configuration' is not defined | {'extra': {'error_type': 'NameError', 'error_message': "name 'configuration' is not defined", 'context': {'component': 'ollama_call', 'model': 'deepseek-r1:7b', 'duration': 0.9987354278564453, 'prompt_length': 7381}}, 'exception': NameError("name 'configuration' is not defined")}
2025-07-15 23:30:13.599 | ERROR    | core.ollama_setup.connector:make_ollama_call:78 | ❌ Ollama call failed: name 'configuration' is not defined | {'extra': {'model': 'deepseek-r1:7b', 'duration': 0.0, 'prompt_length': 2264, 'error_type': 'NameError'}}
2025-07-15 23:30:13.602 | ERROR    | core.logger:log_error_with_context:181 | Error occurred: name 'configuration' is not defined | {'extra': {'error_type': 'NameError', 'error_message': "name 'configuration' is not defined", 'context': {'component': 'ollama_call', 'model': 'deepseek-r1:7b', 'duration': 0.0, 'prompt_length': 2264}}, 'exception': NameError("name 'configuration' is not defined")}
2025-07-15 23:30:14.108 | ERROR    | core.ollama_setup.connector:make_ollama_call:78 | ❌ Ollama call failed: name 'configuration' is not defined | {'extra': {'model': 'deepseek-r1:7b', 'duration': 1.01, 'prompt_length': 628, 'error_type': 'NameError'}}
2025-07-15 23:30:14.108 | ERROR    | core.logger:log_error_with_context:181 | Error occurred: name 'configuration' is not defined | {'extra': {'error_type': 'NameError', 'error_message': "name 'configuration' is not defined", 'context': {'component': 'ollama_call', 'model': 'deepseek-r1:7b', 'duration': 1.0099411010742188, 'prompt_length': 628}}, 'exception': NameError("name 'configuration' is not defined")}
2025-07-15 23:42:15.002 | ERROR    | core.logger:log_api_request:128 | API POST /document/upload-file - 422 | {'extra': {'api_request': True, 'endpoint': '/document/upload-file', 'method': 'POST', 'status_code': 422, 'duration': 6.0, 'user_id': 'anonymous', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0'}}
2025-07-15 23:45:02.674 | ERROR    | core.utils.helper:openai_request:104 | ❌ OpenAI request failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable | {'extra': {'request_id': 'openai_1752603302672', 'duration': 1.94, 'model': 'gpt-4o', 'error_type': 'OpenAIError'}}
2025-07-15 23:45:02.675 | ERROR    | core.utils.helper:openai_request:104 | ❌ OpenAI request failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable | {'extra': {'request_id': 'openai_1752603302674', 'duration': 1.02, 'model': 'gpt-4o', 'error_type': 'OpenAIError'}}
2025-07-15 23:45:02.676 | ERROR    | core.logger:log_error_with_context:181 | Error occurred: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable | {'extra': {'error_type': 'OpenAIError', 'error_message': 'The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable', 'context': {'component': 'openai_request', 'request_id': 'openai_1752603302672', 'model': 'gpt-4o', 'duration': 1.943349838256836}}, 'exception': OpenAIError('The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable')}
2025-07-15 23:45:02.677 | ERROR    | core.utils.helper:openai_request:104 | ❌ OpenAI request failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable | {'extra': {'request_id': 'openai_1752603302674', 'duration': 2.1, 'model': 'gpt-4o', 'error_type': 'OpenAIError'}}
2025-07-15 23:45:02.677 | ERROR    | core.utils.helper:openai_request:104 | ❌ OpenAI request failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable | {'extra': {'request_id': 'openai_1752603302675', 'duration': 2.06, 'model': 'gpt-4o', 'error_type': 'OpenAIError'}}
2025-07-15 23:45:02.678 | ERROR    | core.logger:log_error_with_context:181 | Error occurred: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable | {'extra': {'error_type': 'OpenAIError', 'error_message': 'The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable', 'context': {'component': 'openai_request', 'request_id': 'openai_1752603302674', 'model': 'gpt-4o', 'duration': 1.0194778442382812}}, 'exception': OpenAIError('The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable')}
2025-07-15 23:45:02.679 | ERROR    | core.logger:log_error_with_context:181 | Error occurred: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable | {'extra': {'error_type': 'OpenAIError', 'error_message': 'The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable', 'context': {'component': 'openai_request', 'request_id': 'openai_1752603302674', 'model': 'gpt-4o', 'duration': 2.1028518676757812}}, 'exception': OpenAIError('The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable')}
2025-07-15 23:45:02.680 | ERROR    | core.logger:log_error_with_context:181 | Error occurred: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable | {'extra': {'error_type': 'OpenAIError', 'error_message': 'The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable', 'context': {'component': 'openai_request', 'request_id': 'openai_1752603302675', 'model': 'gpt-4o', 'duration': 2.057790756225586}}, 'exception': OpenAIError('The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable')}
